Population,Individual_ID,morph,col,nbands,fusion
33,1A,B00000,brown,0,FALSE
33,2A,Y00300,yellow,1,FALSE
34,1,P00300,pink,1,FALSE
35,1,P00000,pink,0,FALSE
35,2,Y12345,yellow,5,FALSE
35,3,Y12345,yellow,5,FALSE
35,4,Y12345,yellow,5,FALSE
35,5,Y123(45),yellow,5,TRUE
35,6,Y12345,yellow,5,FALSE
35,7,Y00000,yellow,0,FALSE
35,8,Y123(45),yellow,5,TRUE
35,9,B00000,brown,0,FALSE
35,10,Y00000,yellow,0,FALSE
35,11,P(12)3(45),pink,5,TRUE
35,12,Y00000,yellow,0,FALSE
35,13,B00000,brown,0,FALSE
35,14,Y12345,yellow,5,FALSE
35,15,P(12)3(45),pink,5,TRUE
35,1A,Y00000,yellow,0,FALSE
36,1,Y00300,yellow,1,FALSE
36,2,NA,NA,NA,NA
